Date,Player,Team,Opp,Type,Edge,Reason
2026-02-02,Sam Bennett,FLA,BUF,🚀 OVER,0.75,HOME vs BUF | AVG G | L5: 3.2 vs Avg: 2.65
2026-02-02,Connor Bedard,CHI,SJS,🚀 OVER,0.74,HOME vs SJS | SIEVE G | L5: 3.4 vs Avg: 3.36
2026-02-02,Josh Manson,COL,DET,🚀 OVER,0.73,HOME vs DET | AVG G | L5: 2.1 vs Avg: 1.57
2026-02-02,Louis Crevier,CHI,SJS,🚀 OVER,0.72,HOME vs SJS | SIEVE G | L5: 1.5 vs Avg: 1.48
2026-02-02,Jared Spurgeon,MIN,MTL,🚀 OVER,0.72,HOME vs MTL | SIEVE G | L5: 1.2 vs Avg: 1.18
2026-02-02,Jordan Kyrou,STL,NSH,🚀 OVER,0.72,AWAY vs NSH | SIEVE G | L5: 3.0 vs Avg: 2.58
2026-02-02,Martin Necas,COL,DET,🚀 OVER,0.72,HOME vs DET | AVG G | L5: 2.9 vs Avg: 2.38
2026-02-03,Jonathan Drouin,NYI,PIT,🚀 OVER,0.72,HOME vs PIT | SIEVE G | L5: 1.4 vs Avg: 1.38
2026-02-03,Alexander Nikishin,CAR,OTT,🚀 OVER,0.72,HOME vs OTT | SIEVE G | L5: 1.6 vs Avg: 1.58
2026-02-02,John Marino,UTA,VAN,🚀 OVER,0.7,HOME vs VAN | SIEVE G | L5: 0.8 vs Avg: 0.8
2026-02-03,K'Andre Miller,CAR,OTT,🚀 OVER,0.7,HOME vs OTT | SIEVE G | L5: 1.7 vs Avg: 1.7
2026-02-03,Alex Killorn,ANA,SEA,🚀 OVER,0.7,HOME vs SEA | AVG G | L5: 2.3 vs Avg: 1.8
2026-02-02,Marcus Johansson,MIN,MTL,🚀 OVER,0.69,HOME vs MTL | SIEVE G | L5: 1.5 vs Avg: 1.51
2026-02-02,Andre Burakovsky,CHI,SJS,🚀 OVER,0.69,HOME vs SJS | SIEVE G | L5: 1.4 vs Avg: 1.41
2026-02-02,Alex DeBrincat,DET,COL,🚀 OVER,0.69,AWAY vs COL | AVG G | L5: 4.5 vs Avg: 3.61
2026-02-03,Cam York,PHI,WSH,🚀 OVER,0.67,HOME vs WSH | AVG G | L5: 1.9 vs Avg: 1.43
2026-02-03,Zach Hyman,EDM,TOR,🚀 OVER,0.66,HOME vs TOR | AVG G | L5: 3.6 vs Avg: 3.14
2026-02-03,Cody Glass,NJD,CBJ,🚀 OVER,0.66,HOME vs CBJ | AVG G | L5: 2.2 vs Avg: 1.74
2026-02-02,Wyatt Johnston,DAL,WPG,🚀 OVER,0.66,HOME vs WPG | AVG G | L5: 3.1 vs Avg: 2.64
2026-02-03,Mikael Granlund,ANA,SEA,🚀 OVER,0.66,HOME vs SEA | AVG G | L5: 2.6 vs Avg: 2.14
2026-02-02,Alexandre Carrier,MTL,MIN,🚀 OVER,0.65,AWAY vs MIN | AVG G | L5: 1.7 vs Avg: 0.85
2026-02-02,Seth Jones,FLA,BUF,🚀 OVER,0.65,HOME vs BUF | AVG G | L5: 2.4 vs Avg: 1.95
2026-02-03,Morgan Rielly,TOR,EDM,🚀 OVER,0.64,AWAY vs EDM | SIEVE G | L5: 2.3 vs Avg: 1.96
2026-02-03,Dylan Cozens,OTT,CAR,🚀 OVER,0.63,AWAY vs CAR | SIEVE G | L5: 2.7 vs Avg: 2.37
2026-02-03,Thomas Chabot,OTT,CAR,🚀 OVER,0.63,AWAY vs CAR | SIEVE G | L5: 2.0 vs Avg: 1.67
2026-02-02,Mats Zuccarello,MIN,MTL,🚀 OVER,0.63,HOME vs MTL | SIEVE G | L5: 1.9 vs Avg: 1.97
2026-02-03,John Carlson,WSH,PHI,🚀 OVER,0.62,AWAY vs PHI | SIEVE G | L5: 2.4 vs Avg: 2.08
2026-02-02,Kiefer Sherwood,SJS,CHI,🚀 OVER,0.62,AWAY vs CHI | AVG G | L5: 3.3 vs Avg: 2.48
2026-02-02,Erik Haula,NSH,STL,🚀 OVER,0.61,HOME vs STL | SIEVE G | L5: 1.5 vs Avg: 1.59
2026-02-01,Pavel Dorofeyev,VGK,ANA,🚀 OVER,0.61,AWAY vs ANA | SIEVE G | L5: 3.0 vs Avg: 2.69
2026-02-02,Lawson Crouse,UTA,VAN,🚀 OVER,0.61,HOME vs VAN | SIEVE G | L5: 1.5 vs Avg: 1.59
2026-02-01,Ivan Barbashev,VGK,ANA,🚀 OVER,0.6,AWAY vs ANA | SIEVE G | L5: 1.8 vs Avg: 1.5
2026-02-03,Eeli Tolvanen,SEA,ANA,🚀 OVER,0.59,AWAY vs ANA | SIEVE G | L5: 2.1 vs Avg: 1.81
2026-02-03,Vasily Podkolzin,EDM,TOR,🚀 OVER,0.58,HOME vs TOR | AVG G | L5: 1.9 vs Avg: 1.52
2026-02-02,Brock Faber,MIN,MTL,🚀 OVER,0.58,HOME vs MTL | SIEVE G | L5: 2.0 vs Avg: 2.12
2026-02-02,Gabriel Landeskog,COL,DET,🚀 OVER,0.58,HOME vs DET | AVG G | L5: 2.5 vs Avg: 2.12
2026-02-02,Brady Skjei,NSH,STL,🚀 OVER,0.58,HOME vs STL | SIEVE G | L5: 1.4 vs Avg: 1.52
2026-02-02,Ryan Greene,CHI,SJS,🚀 OVER,0.57,HOME vs SJS | SIEVE G | L5: 1.2 vs Avg: 1.33
2026-02-03,Aliaksei Protas,WSH,PHI,🚀 OVER,0.57,AWAY vs PHI | SIEVE G | L5: 2.5 vs Avg: 2.23
2026-02-01,Viktor Arvidsson,BOS,TBL,🚀 OVER,0.56,AWAY vs TBL | AVG G | L5: 3.5 vs Avg: 2.74
2026-02-03,Oliver Ekman-Larsson,TOR,EDM,🚀 OVER,0.55,AWAY vs EDM | SIEVE G | L5: 1.7 vs Avg: 1.45
2026-02-03,Matt Savoie,EDM,TOR,🚀 OVER,0.54,HOME vs TOR | AVG G | L5: 1.7 vs Avg: 1.36
2026-02-03,Dougie Hamilton,NJD,CBJ,🚀 OVER,0.54,HOME vs CBJ | AVG G | L5: 3.1 vs Avg: 2.76
2026-02-02,Michael Carcone,UTA,VAN,🚀 OVER,0.54,HOME vs VAN | SIEVE G | L5: 1.8 vs Avg: 1.96
2026-02-03,J.J. Moser,TBL,BUF,🚀 OVER,0.54,HOME vs BUF | AVG G | L5: 1.8 vs Avg: 1.46
2026-02-02,Artyom Levshunov,CHI,SJS,🚀 OVER,0.53,HOME vs SJS | SIEVE G | L5: 1.1 vs Avg: 1.27
2026-02-03,Leon Draisaitl,EDM,TOR,🚀 OVER,0.53,HOME vs TOR | AVG G | L5: 3.2 vs Avg: 2.87
2026-02-02,Yegor Sharangovich,CGY,TOR,🚀 OVER,0.52,HOME vs TOR | AVG G | L5: 2.3 vs Avg: 1.98
2026-02-02,Pavel Buchnevich,STL,NSH,🚀 OVER,0.52,AWAY vs NSH | SIEVE G | L5: 2.0 vs Avg: 1.78
2026-02-02,Blake Coleman,CGY,TOR,🚀 OVER,0.51,HOME vs TOR | AVG G | L5: 2.7 vs Avg: 2.39
2026-02-01,Joel Armia,LAK,CAR,🚀 OVER,0.51,AWAY vs CAR | SIEVE G | L5: 1.5 vs Avg: 1.29
2026-02-02,Esa Lindell,DAL,WPG,🚀 OVER,0.5,HOME vs WPG | AVG G | L5: 1.3 vs Avg: 1.0
2026-02-03,Mason McTavish,ANA,SEA,🚀 OVER,0.5,HOME vs SEA | AVG G | L5: 2.4 vs Avg: 2.1
2026-02-02,Cole Caufield,MTL,MIN,🚀 OVER,0.5,AWAY vs MIN | AVG G | L5: 3.7 vs Avg: 3.0
2026-02-02,Philip Broberg,STL,NSH,🚀 OVER,0.5,AWAY vs NSH | SIEVE G | L5: 1.5 vs Avg: 1.3
2026-02-02,Anton Lundell,FLA,BUF,🚀 OVER,0.49,HOME vs BUF | AVG G | L5: 2.6 vs Avg: 2.31
2026-02-02,Brad Marchand,FLA,BUF,🚀 OVER,0.48,HOME vs BUF | AVG G | L5: 3.1 vs Avg: 2.82
2026-02-02,Quinn Hughes,MIN,MTL,🚀 OVER,0.48,HOME vs MTL | SIEVE G | L5: 2.5 vs Avg: 2.72
2026-02-02,Alexandre Texier,MTL,MIN,🚀 OVER,0.47,AWAY vs MIN | AVG G | L5: 2.2 vs Avg: 1.53
2026-02-02,Brock Nelson,COL,DET,🚀 OVER,0.47,HOME vs DET | AVG G | L5: 2.5 vs Avg: 2.23
2026-02-02,Joel Eriksson Ek,MIN,MTL,🚀 OVER,0.46,HOME vs MTL | SIEVE G | L5: 2.6 vs Avg: 2.84
2026-02-03,Ryan Poehling,ANA,SEA,🚀 OVER,0.46,HOME vs SEA | AVG G | L5: 1.3 vs Avg: 1.04
2026-02-03,Kyle Palmieri,NYI,PIT,🚀 OVER,0.46,HOME vs PIT | SIEVE G | L5: 2.6 vs Avg: 2.84
2026-02-03,Tyson Foerster,PHI,WSH,🚀 OVER,0.45,HOME vs WSH | AVG G | L5: 2.2 vs Avg: 1.95
2026-02-02,Oliver Moore,CHI,SJS,🚀 OVER,0.44,HOME vs SJS | SIEVE G | L5: 0.9 vs Avg: 1.16
2026-02-03,Jamie Drysdale,PHI,WSH,🚀 OVER,0.44,HOME vs WSH | AVG G | L5: 1.4 vs Avg: 1.16
2026-02-03,Pontus Holmberg,TBL,BUF,🚀 OVER,0.44,HOME vs BUF | AVG G | L5: 1.6 vs Avg: 1.36
